pr_id, title, body, date_published
99,Mayor Emanuel Announces Expansion of Predictive Crime Strategy to Ogden,Chicago Mayor Rahm Emanuel and Chicago Police Department (CPD) Superintendent Eddie Johnson today announced the completion of CPD’s new predictive technology and analytical tools in the Ogden Police District (10th District)| continuing the expansion of the policing strategy to more parts of the west side.,October 26| 2017
100,Chicago Mayor Emanuel and DHL Open New $10 Million International Air Shipment Facility at O'Hare,Mayor Rahm Emanuel today joined DHL| the leading international express services provider| for the opening of its new $10 million global gateway facility at O’Hare International Airport. To grow its thriving global air network| DHL has selected Chicago’s new state-of-the-art northeast cargo campus at O’Hare| which is on track to be the largest cargo development built at a U.S. airport in more than a decade when completed in the next few years. “DHL’s expansion in Chicago| which brings new economic activity and jobs to our city| is a direct result of our investments to make O’Hare a top global gateway for air cargo operations|” said Mayor Rahm Emanuel. “The world’s leading companies like DHL are investing in Chicago because O’Hare provides the best connectivity to markets around the globe and has the capacity to keep growing for many years to come.” The addition of this new 54|000 square-foot gateway will grow the company’s Chicago presence and will create 75 new jobs| including import and export agents| as well as training and office personnel. The latest investment in Chicago by DHL Express was driven by the company’s current and forecasted shipment growth from U.S. businesses trading internationally as well as the continuing growth in e-commerce shipping. DHL selected O’Hare to expand its growing Midwest operations based on Chicago’s ideal location| which includes a strong transportation network conducive to business in and around the Midwest| as well as its skilled workforce. “DHL remains invested in Chicago as more opportunities arise for businesses in the region to expand internationally and as e-commerce continues to flourish|” said Greg Hewitt| CEO of DHL Express U.S. “Our new gateway is poised for this growth and will help us further serve customers as efficiently as possible. We are grateful to Mayor Emanuel for his leadership| and his city’s leadership| in recognizing the strategic importance of O’Hare as a global leader in the air cargo business.” The new DHL gateway| which expands DHL’s existing operations at O’Hare| features a unique on-site U.S. Customs operation that allows for faster processing capabilities for inbound and outbound international shipments for the Chicago area and other Midwest markets. In addition to accommodating future shipment volume growth| the expansion of operations will supplement the U.S. network capacity of DHL to expedite shipments of packages at peak seasons such as the November-December holidays. O’Hare is also home to the DHL Global Forwarding facility| a 491|000 square-foot office and warehouse building that houses 500 employees. It is the largest freestanding DHL global forwarding building in its worldwide network. “O’Hare’s cargo operations have experienced record growth in recent years| and we are thrilled to continue our growth with our longstanding partners at DHL|” said Ginger S. Evans| Commissioner| Chicago Department of Aviation. “Every year| air cargo shipments generate billions of dollars for our local economy and support thousands of jobs. We want to thank DHL for their continued investment in Chicago| which will in turn further strengthen O’Hare’s standing as a global destination for global trade.” The new DHL Express facility can process more than 4|500 pieces per hour| ranging from small parcels to palletized freight. The DHL facility is LEED-certified and is on track to be certified by the Transported Asset Protection Association (TAPA) in early 2018. TAPA sets the global benchmarks for best practices in cargo security handling. The new gateway facility joins DHL operations south of O’Hare International Airport| in Franklin Park| and another north of Midway International Airport| in McCook. The gateway is also connected to five DHL hubs based in London| UK; Leipzig| Germany; Shanghai| China; Incheon| South Korea; and Hong Kong.  O’Hare is a leading international cargo airport| ranking number two in the U.S. by value of shipments and number four among all ports in North America for trade value. Designed to ensure O’Hare has the modern infrastructure and capacity to handle growing volumes and to compete for international demand| the O’Hare Northeast Cargo Center is a $220 million partnership with Aeroterm. Phases I and II of the three-phase project have opened ahead of schedule| creating 600 jobs to date. The City’s agreement with Aeroterm will provide $600 million of economic benefit to the airport over the life of the agreement| enhancing Chicago’s competitive edge and adding ten thousand jobs to the city over the next decade. The DHL Chicago Gateway facility is located at 836 Patton Drive| Tower C| Ste. 220| Chicago| IL 60666.,October 25| 2017
101,Mayor Emanuel Announces Andrea Zopp to Head World Business Chicago,Mayor Rahm Emanuel today announced he has tapped Deputy Mayor Andrea Zopp to serve as the next CEO of World Business Chicago (WBC) – a move that will build on the Mayor’s efforts to drive economic growth in neighborhoods throughout Chicago. The move will allow current WBC CEO Jeff Malehorn to focus his time and efforts exclusively on the city’s efforts to bring Amazon’s second headquarters| and 50|000 new jobs| to Chicago. Since joining the Emanuel administration| Zopp has overseen a suite of neighborhood economic efforts| including the creation of the Neighborhood Opportunity Fund which uses funds generated by downtown businesses to support economic development on the south| west and southwest sides of the city. To date the Fund has used $3.2 million in funding to support 32 businesses across the city| including a vegan restaurant in Chatham| a plant nursery in North Lawndale and an art gallery in West Humboldt Park. A second round of $2.5 million in funding was just announced earlier this month. “Andy is an incredible asset to my administration and a great partner in our work make sure that as Chicago grows| every resident benefits|” said Mayor Emanuel. “This role is the next step in our work towards inclusive economic growth in every neighborhood across the city.” “I have spent my career working on behalf of Chicago’s neighborhoods|” said Zopp. “I’m excited to continue that work with Mayor Emanuel to leverage the full weight of World Business Chicago to build thriving neighborhoods.” Malehorn| who has led WBC since 2013| will spearhead WBC’s efforts to support the Chicago bid for Amazon’s HQ2. His record at WBC makes him uniquely suited for the role. Through Malehorn’s work with Mayor Emanuel| Chicago has been the top city in the nation for four straight years for corporate relocations| has led the nation in direct foreign investment for five straight years| and has been the best Sister Cities Organization twice. Malehorn’s drive to focus WBC on Inclusive Economic Growth set the stage for Zopp’s leadership. Additionally| Mayor Emanuel announced a series of key hires within his office. Victoria Watkins will serve as Senior Advisor. Watkins has headed up the Mayor’s Springfield legislative team since 2013 and has worked for the City since 2011. She played a key role in the passage of the new state education funding formula| the overriding of multiple gubernatorial vetoes and the passage of legislation authorizing the construction of the Obama Presidential Center. In her new role| she will advise the Mayor and lead efforts related to neighborhood policy| external affairs| legislative issues and other key initiatives. Watkins is a lifelong Chicagoan who grew up in the Austin neighborhood. Roderick Hawkins will serve as Deputy Chief of Staff for Public Engagement. Hawkins has been Director of the Mayor’s Office of Public Engagement since July 2016. In his newly expanded role| Hawkins will partner with faith leaders and community leaders across Chicago on a wide range of public safety| education and neighborhood growth efforts. He will also oversee Chicago’s actions to remain a Welcoming City to immigrants across the world. Hawkins will work closely with Vance Henry| who has served as a trusted advisor to Mayor Emanuel on faith based initiatives since 2011. Hawkins is a resident of South Shore. Aarti Kotak will serve as Deputy Chief of Staff for Neighborhood Economic Development. Kotak brings deep experience in neighborhood economic development to the Mayor’s office through her current role as the Managing Deputy Commissioner of the Economic Development Bureau in the city’s Department of Planning and Development. She has overseen economic development efforts in Austin| Back of the Yards| Bronzeville| Englewood and Pullman and has played a key role in turning vacant lots and boarded up buildings into thriving economic corridors throughout the city. Kotak is a graduate of the University of Illinois at Urbana-Champaign and Stanford Law School.,October 24| 2017
102,Mayor Emanuel Joins Peapod to Announce Company is Relocating Corporate Headquarters to Chicago,Mayor Rahm Emanuel today joined Peapod| the country’s leading online grocer| to announce the company is relocating its headquarters to downtown Chicago at 300 S. Riverside Plaza. This relocation to the vibrant downtown area comes as Peapod is experiencing year over year growth across all of its markets.,October 24| 2017
103,Mayor Emanuel Breaks Ground on Innovative Food Business Incubator in East Garfield Park,Mayor Rahm Emanuel today broke ground on The Hatchery Chicago| a new food and beverage business incubator in East Garfield Park. The Hatchery is a partnership between local non-profits| Accion Chicago| ICNC and IFF| and two corporate partners| the Kellogg Company and Conagra Brands. The 67|000-square-foot facility will support local food and beverage entrepreneurs by providing them with tools and resources to reach success. The approximately $34 million facility is expected to create an estimated 150 jobs in the first year.,October 24| 2017
104,Mayor Emanuel Announces 14|020 Invited to Take Police Entry Exam,Mayor Rahm Emanuel| Chicago Police Department (CPD) Superintendent Eddie Johnson and Chicago Department of Human Resources (DHR) Commissioner Soo Choi today announced that the City has invited 14|020 to take the next Police Entry Exam. This is the second exam of the year as CPD continues to work toward its goal of increasing the number of officers by nearly 1|000 officers by the end of next year that reflect the diversity of the residents of Chicago.,October 23| 2017
105,Mayor Emanuel and CTA Open New Wilson Stationhouse,Mayor Rahm Emanuel and Chicago Transit Authority President Dorval R. Carter| Jr. today opened the new main stationhouse as part of the $203 million reconstruction of the Wilson Red Line station and adjacent tracks. The opening marks a major milestone in the transformational project for the Uptown community and is a significant investment in enhancing rail service for customers.  “Our investment in the Wilson Station is the latest in our work to deliver a 21st Century transit system for all of Chicago|” said Mayor Emanuel| “By rebuilding this station| we are investing in this historic and vibrant neighborhood| creating new jobs in the community| and ensuring a modern and reliable transit system for Chicago’s residents.” “Today| we are able to provide our customers with a more modern| convenient and pleasant station|” said CTA President Dorval R. Carter| Jr. “By completely renovating the Wilson station| we are better serving the Uptown community and playing in part in generating new development and new jobs.” New enhancements at Wilson for CTA customers include:,October 23| 2017
106,Mayor Emanuel Announces 17 Cities Now Host EPA Climate Change Information,Mayor Rahm Emanuel and the 16 other cities that host research from the U.S. Environmental Protection Agency’s (EPA) Climate Change Website today call on others to make this climate change information available on their local government sites. The Trump administration unceremoniously removed information on climate change and its effects from federal government websites on April 29. The EPA stripped additional content on October 19| including the removal of resources helping local officials to adapt to global warming and the elimination of over 15 mentions of climate change.,October 22| 2017
107,Mayor Emanuel Interviews Apple CEO Tim Cook on Chicago Stories Podcast,Mayor Emanuel interviewed Apple CEO Tim Cook on this week’s Chicago Stories podcast| recorded at the grand opening of the new Apple Store on the Chicago Riverwalk. The two leaders talked about everything from the equalizing power of education| the need for diversity| and driving inclusive growth.,October 21| 2017
108,Mayor Emanuel and Governor Rauner Announce Sites Proposed in Joint Bid for Amazon HQ2,Mayor Rahm Emanuel and Governor Bruce Rauner today released the sites included in the Chicago area’s bid for Amazon’s HQ2. The bid was submitted earlier this week| concluding a month-long process that brought together an unprecedented group of stakeholders to develop and support a bid that makes clear Chicago is the ideal place for Amazon to invest billions of dollars and create an estimated 50|000 jobs. “The sites identified in Chicago’s bid for HQ2 demonstrate the region’s unparalleled potential to support Amazon’s future growth|” Mayor Emanuel said. “The combination of these prime locations with the country’s most educated population| diversified economy and connected transportation system make it clear that Chicago is the ideal city for Amazon’s second headquarters as the company continues to expand.” “Our state possesses unmatched business| education| technology| logistics| distribution| and academic research assets|” said Governor Bruce Rauner. “These are the core attributes of a community in which Amazon can thrive. More important| they represent a foundation for talent rich| innovative growth for generations to come.” The bid demonstrates Chicago’s depth of site opportunities that each give Amazon the tools and ability to build a future where it can continue to thrive and reach new heights for generations to come. Each site aligns closely with Amazon’s criteria and offers the common strengths of Chicago’s diverse and talented workforce| unparalleled transportation systems and ability to quickly reach any destination in the world. Yet each site also offers a unique set of features that will allow Amazon to tailor a space to meet its needs today| and the needs of the company it will become.  The proposed sites would allow Amazon to be at the very center of a vibrant downtown core| or in an innovative urban district in one of Chicago’s neighborhoods| or in a campus-like environment in our suburbs. City Core  Chicago’s city core| anchored by the "Loop" hub of the CTA’s elevated train system| is the city's central business district and serves as the center of the region’s transportation and communications systems while supporting continued growth all around it.  The Downtown Gateway District is a collection of existing move-in ready buildings| major renovation and new development opportunities at a major gateway to Chicago's business district. This district includes significant space in the Willis Tower| the landmark art deco Old Post Office and new innovative over-site development at Union Station. 18 million sq. ft. of office is available over five existing buildings and seven development sites. A major development site at Union Station| and three new A+ office towers| are the centerpiece.  City Center Campus offers Amazon a unique opportunity to become an integral part of Chicago's Loop. Located in the center of the City| the future campus core is fully integrated into existing infrastructure and a multimodal transportation network with direct access to all downtown CTA rail and bus lines (including Blue Line access to O’Hare International Airport and Orange Line access to Midway International Airport on-site)| designated bikes lanes| pedestrian paths| and a pedway (an underground walkway system). Commuter rail lines with connections to the surrounding suburban destinations (Union| Ogilvie and Millennium Stations) are less than one-half mile away. Innovative Urban Districts  Chicago is seeing major growth north| west and south of the Central Business District (CBD)| including former industrial districts that have become new and diverse communities. These large-scale sites in the immediate vicinity of the CBD would allow Amazon to define an entire new district. Most have a public waterfront presence along either the Chicago River or Lake Michigan and active owners with investment strategies and design options that can be tailored to meet Amazon’s needs. Lincoln Yards is comprised of over 70 riverfront acres between Bucktown and Lincoln Park| two of Chicago’s most iconic neighborhoods. It is a site of scale that offers robust| existing and multimodal transit connectivity| fiber rich infrastructure| a reasonable cost of living| vibrant neighborhood adjacency and immediate development opportunities with future expansion options.  The River District is a new neighborhood in Chicago’s city center| anchored by 37 acres of continuous riverfront land. Located at the confluence of Chicago’s most dynamic office| residential and entertainment districts| The River District is proximate to five separate CTA train stations| the Union Station/Ogilvie downtown commuter train hubs| the interstate highway system| and a dense network of major bus and bike routes. Given its unique locational attributes| the site represents an opportunity to create a new neighborhood that is pedestrian| bike| and transit friendly| while also convenient to regional commuters and international travelers. Fulton Market sits in a 21st Century extension of Chicago’s Central Business District. Once a meat-packing district| it is now a rich mix of office| workspace| restaurants| night-life| hotels and housing intermingled with industry| makers and artists. The District keeps its working grit while being a major draw for start-ups| and multiple recent corporate headquarters relocations. It is now home to Dyson| Glassdoor| Google| Uber| McDonald’s and WeWork – attracting the brightest minds in business and technology to a rapidly maturing business district.,October 20| 2017
109,Mayor Emanuel Announces Major Milestone in Development of New Englewood High School,Mayor Rahm Emanuel announced today the City has taken a major step towards the development of a new| state-of-the-art Englewood High School by awarding a minority-lead joint venture to complete the design and construction of the project. UJAMAA / Power II Joint Venture will develop the new south side High School located on South Normal Boulevard at 69th Street. As Englewood continues its resurgence| this $85 million facility will attract area students by building on the surging academic progress in the area’s elementary schools. The school will open in the fall of 2019.  “Today we are making monumental strides in investing in the education and future of the children of Englewood|” said Mayor Emanuel. “I am thrilled that the UJAMAA / Power II Joint Venture has committed to hiring members of the community to bring Englewood's children a brand new 21st century high school that will help prepare them for success in our 21st century world.” The new three-story school will broaden the range of educational opportunities for approximately 1|200 high school students by providing diverse learning| music| art| health| dance| multi-purpose and standard classrooms. Site improvements will include fields for baseball| softball| football and track. There will also be tennis and basketball courts located within the sports quad. CPS continues to hold community meetings to discuss additional key issues| including student transition| safety planning| naming the school| the academic programming and focus and other critical issues.,October 19| 2017
110,Mayor Emanuel Announces ThinkChicago: Chicago Ideas Week 2017,Mayor Rahm Emanuel today announced the start of ThinkChicago: Chicago Ideas Week 2017. For three days| 200 of the nation’s top technology| business and design students will experience all that Chicago has to offer as a global tech hub and attend one of the country’s most diverse and innovative ideas festivals| Chicago Ideas Week. ThinkChicago received applications from students hailing from twelve states and 31 universities. “Chicago welcomes these talented students for a once in a lifetime opportunity to network| hear from leaders in industry and see what a world class city Chicago is|” Mayor Emanuel said. “Student interest in Chicago’s tech sector continues to grow because our tech community is one of the most diverse| creative and ground-breaking in the world.” “Millennials have identified Chicago as an exceptional hub for technology and innovation|” ChicagoNEXT chairman Mark Tebbe said. “Students involved in this year’s ThinkChicago: Chicago Ideas Week will experience the best of what our city offers while attending one of the leading thought-leadership festivals in the country.” Applicants were selected based on their academic record| passion for innovation and particular interest in exploring Chicago’s tech sector. ThinkChicago: Chicago Ideas Week attracts emerging talent from all over the United States to Chicago. Of the 200 students attending this year| 86 percent study STEM| business| arts or design disciplines. "We've established an innovation community in Chicago that rivals some of the world's best-known technology hubs|" said Brad Keywell| Chicago Ideas Week Founder and Co-chairman. "Just as investors are looking more closely beyond the coasts for promising opportunity| we want young talent to see the Midwest as a place that's ripe for jobs| entrepreneurship and growth. Chicago Ideas lets them experience that first hand.” “The University of Illinois System is delighted to continue our partnership with Mayor Emanuel| World Business Chicago| and Chicago Ideas Week to showcase the city and all it has to offer to talented students from across the county|” said University of Illinois President Tim Killeen. “ThinkChicago gives these emerging young leaders unprecedented access to the people and companies that are shaping Chicago’s tech community.” As part of the program| ThinkChicago students will also attend a range of events| including:,October 19| 2017
111,Mayor Emanuel Announces Five New Early Childhood Education Programming Sites,Mayor Rahm Emanuel today announced that $1.8 million will be allocated in this year’s budget for five new| high-quality early education programming sites next year. These sites will be designed to meet community need| with input and insights from stakeholders from the communities.  The city’s total early education allocation for the 2018 budget is $15.075 million| which remains consistent with 2017.“Every student deserves a high-quality education that gives them the opportunity to succeed| regardless of their zip code| and that begins with early learning programs|” said Mayor Emanuel. “From early learning through post-secondary| we are making smart| critical investments that support our children’s futures.”The five sites will be selected through a coordinated effort with Aldermen and city agencies to ensure that funding is strategically allocated across the city in a way that best serves the most children. The process for designing these programs involves comprehensive community engagement and a streamlined review by both the Department of Family and Support Services (DFSS) and Chicago Public Schools (CPS) to ensure that all programs being supported by city funding are high-quality and prepare students for kindergarten and continued learning. This year| over 18|000 children across the city will have access to a full-day of preschool—an increase of 80 percent since 2011. The additional five sites will accommodate more than 600 additional children across the selected communities. To improve accessibility| the City of Chicago launched a universal preschool application that serves as a one-stop-shop to help parents find programs| assess program quality| and understand their child’s eligibility for their desired site. This online site provides a single point of entry to access a comprehensive menu of over 600 programs for three- and four-year olds available under Chicago CPS| DFSS and city-administered community-based sites citywide. All locations can be found on the City’s easy-to-use| interactive online portal at http://www.chicagoearlylearning.org. Since taking office| Mayor Emanuel has made full-day early learning opportunities a priority. Studies have shown that a high-quality| full-day preschool is a critical start to long-term success.  Studies have shown that at-risk children who have access to high quality| full-day preschool programs are more likely to graduate from high school| and less likely to be arrested for a violent crime or become a teen parent. The expansion of quality full-day early learning programs joins the long list of education improvements under Mayor Emanuel’s leadership| including universal kindergarten| longer school day and expanded educational programs at the high school level. Collectively| these efforts have resulted in an all-time high graduation rate of 73.5 percent – growing more than 16 percentage points since 2011 when just over half of CPS students earned a high school diploma.,October 18| 2017
112,Mayor Emanuel Releases 2018 Budget Proposal,Mayor Rahm Emanuel today released his 2018 city budget proposal| outlining planned investments in public safety improvements| additional resources for Chicago's youth and continued neighborhood growth. The Mayor’s proposal includes no citywide general tax increases| and is focused on government reforms and improved fiscal management. “With this budget| we can build on Chicago’s long| legendary legacy of growth|” said Mayor Emanuel. “With this budget| we can increase investments in public safety| public education and quality neighborhoods because we have been disciplined in our public finances. With this budget| we can work towards a brighter future for all the residents who live here| all the immigrants from around the world who still see a beacon of hope here| and all the children and young people who are growing up here and will inherit this great city that we love.”,October 18| 2017
113,Statement from Mayor Emanuel on Federal Judge Blocking President Trump's Latest Travel Ban,“Once again| President Trump is on the wrong side of immigration issues and the wrong side of history. America must always be a beacon of hope and humanity for immigrants| regardless of where they worship or from where they travel. Chicago will continue to stand up to the Trump Administration and protect those in search of America's promise.”,October 17| 2017
114,Statement from Mayor Emanuel on Chicago's #1 Rank in Conde Nast Traveler's Readers' Choice Awards,“Conde Nast readers recognize what residents of Chicago have always known: the Second City is the best big city in the U.S. This title is a testament to the innovation found in our amazing architecture| the ingenuity captured at our award-winning restaurants and 67 breweries| and the congenial character of Chicagoans. While our 77 neighborhoods each have unique cultures and characteristics| we are one Chicago| and we are proud of this distinction.”,October 17| 2017
115,Walgreens to Establish New Technology Center of Excellence in the Sullivan Center,Mayor Rahm Emanuel today joined Walgreens to announce the company will bring approximately 300 technology positions to its current downtown Chicago office in the Sullivan Center to establish a new technology center of excellence. Through a combination of new hires and relocations from its Deerfield| Ill.| support office| Walgreens will double its number of employees working at the Sullivan Center| located at 36 S. Wabash Ave.,October 17| 2017
116,Statement from Mayor Emanuel on Karen Lewis,“I reached out to Karen this morning to wish her a speedy recovery and| as anyone who knows Karen would assume| she was in a good humor. Karen Lewis has always been a strong voice for Chicago's children and Chicago's teachers| and the strength of her voice is only matched by the strength of her will. A stroke can't keep Karen Lewis down.”,October 17| 2017
117,Mayor Emanuel Announces 82 Officers Deployed to the Districts,Mayor Rahm Emanuel and Chicago Police Department (CPD) CPD First Deputy Superintendent Kevin Navarro today announced that 82 officers have been deployed to their district assignments| as part of the plan to add 970 more sworn members by the end of next year.,October 16| 2017
118,Mayor Emanuel and Governor Rauner Announce Submission of Bid for Amazon HQ2,Mayor Rahm Emanuel and Governor Bruce Rauner today announced submission of the Chicago area’s bid for Amazon’s HQ2. The bid concludes a month-long process that brought together an unprecedented group of stakeholders to develop and support a bid that makes clear Chicago is the ideal place for Amazon to invest billions of dollars and create an estimated 50|000 jobs. “Chicago offers unparalleled potential for future growth for businesses of all sizes and is the ideal place for Amazon to build its HQ2|” Mayor Emanuel said. “This bid will demonstrate to Amazon that Chicago has the talent| transportation and technology to help the company as it reaches new heights and continues to thrive for generations to come.” “Amazon represents an extraordinary opportunity for Illinois to grow jobs| attract new residents| and build our tax base|” said Governor Rauner. “Our bid makes a powerful business case| linking our advantages in innovation| commerce| and R&D with Amazon’s aspirations for growth and talent recruitment.” The bid was submitted electronically earlier today| day one of a four-day window during which Amazon is accepting bids.,October 16| 2017
119,Chicago Volunteer Firefighters Return from Recovery Mission,Mayor Rahm Emanuel today announced the return of 23 members of the Chicago Fire Department (CFD) who traveled to Puerto Rico to help with the recovery effort in wake of the devastation caused by Hurricane Maria. CFD Chiefs Don Hroma and Tim Sampey will greet the volunteering heroes at O’Hare Airport today to thank them for their work. ,October 14| 2017
120,Mayor Emanuel Announces Down Payment on Police Reform,Mayor Rahm Emanuel today announced the City’s proposed investment in public safety reform. More than $27.4 million in the Mayor’s proposed budget will be devoted to police reform. The investment is an increase of $24 million over 2017 and will support initiatives such as enhanced training| reform implementation| officer wellness and community policing.,October 14| 2017
121,Chicago Blackhawks Hockey Rink at Kennedy Park Opens to the Public,Mayor Rahm Emanuel| the Chicago Park District and the Chicago Blackhawks today celebrated the official opening of the Chicago Blackhawks Hockey Rink at Kennedy Park in Chicago’s Morgan Park neighborhood. The new 80’ x 175’ rink features a SportCourt surface for both street and roller hockey use| creating accessibility across multiple seasons.,October 13| 2017
122,2018 Budget to Include Expanded Investments in Rodent Control,Mayor Rahm Emanuel announced today additional service investments in rodent control and rodent abatement with the Department of Streets and Sanitation (DSS).  As part of the 2018 budget| Mayor Emanuel is proposing to add five more crews dedicated solely to rodent baiting and provide an additional $500|000 in funding to support the purchase of over 10|000 more black garbage carts. “Investments in our city services are the cornerstones that help make our communities stronger and move the City of Chicago forward|” said Mayor Emanuel.  “These critical investments in rodent control and garbage carts allow us to continue to provide the best possible service on behalf of residents.” In 2018| the DSS will increase the number of crews dedicated solely to rodent baiting by five crews.  This over $1 million investment is achieved through operational efficiencies within the Department since the implementation of Grid Garbage.  These efficiencies allow DSS to reallocate personnel to perform rodent abatement in 2018.  A total of 30 rodent abatement and rodent prevention crews will be operating in neighborhoods citywide starting in 2018.   The five additional crews builds on the other key investments Mayor Emanuel has done in recent years to combat rodents| including establishing the new Bureau of Rodent Control as part of the 2017 budget| testing a fertility-bait product on rodents| which is designed to reduce reproduction| and piloting the application of dry ice in parks and green spaces to determine if is suitable citywide as an additional rodenticide method.   To date| the City has responded to over 39|000 requests for rodent abatement in 2017| and response times for all rodent abatement requests is down to five days.  On top of increasing the number of crews performing rodent abatement| the City is also increasing the amount of funding for garbage carts in 2018 to $1|500|000| which is one of the largest local revenue budget appropriation for carts in over five years.  To date| the City has responded to over 23|400 cart requests from residents citywide. Moreover| DSS has repaired and refurbished over 10|000 black refuse carts and over 3|000 blue recycling carts in 2016 and to-date in 2017| saving over $660|000 in cart costs.  "With Mayor Emanuel's support| we will continue our zealous fight against rodents| ensuring that every report is addressed within 5 days or less|" said Streets and Sanitation Commissioner Charles L. Williams. "The rodent battle will only benefit from the investment in garbage carts which helps ensure that residents can swap out any damaged carts for a new or refurbished one in a timely manner." Education remains a top priority in rodent abatement. New informational posters are now placed at every baiting location to help residents understand how to eliminate food sources for rodents.  For more information on rodent control services| call 311 or visit www.cityofchicago.org.,October 13| 2017
123,Statement from Mayor Emanuel on President Trump's Actions on Health Care Coverage,“After Americans rejected Trumpcare| the President is single handedly choosing to increase the cost of quality care for the American people. At the same time| he’s making it more complicated for people to enroll in marketplace insurance. The president's actions are harmful and heartless. Americans living in poverty and those working to make ends meet should not suffer because the president is unwilling or unable to improve our health care system. Thanks to the Affordable Care Act| more Chicagoans have quality insurance than ever before. We will work with our partners to make sure all Chicagoans have access| information and assistance for marketplace enrollment this year| even as the President has slashed funding and enrollment time. Open enrollment is from November 1 – December 15.”,October 13| 2017
124,Mayor Emanuel and Alderman Michael Zalewski Break Ground on Annex for Byrne Elementary School,Mayor Rahm Emanuel today joined Alderman Michael Zalewski to break ground on the new annex at Michael M. Byrne Elementary School. The addition will house 16 new classrooms| including a science lab| a music room and a library| as well as a large multi-purpose room.,October 13| 2017
125,Statement from Mayor Emanuel on Cubs Advancing to the NLCS,“Congratulations to the entire Cubs organization on advancing to the National League Championship Series for the third straight year| and congratulations to the Washington Nationals on a great season! This series| and particularly this incredible nail-biter of a game| was another unforgettable chapter in an always exciting season. All of Chicago is looking forward to what’s in store for the rest of October. Let’s go Cubs!”,October 13| 2017
126,Mayor Emanuel| CDOT and CTA Announce Critical Federal Funding is Secured for New State and Lake Train Station,Mayor Rahm Emanuel today announced a major step forward in plans to reconstruct and modernize the CTA ‘L’ station at State and Lake Streets| with the approval of a $56.9 million federal grant for design and construction of a new| fully accessible elevated station to serve passengers on five rail lines from all corners of the city. Today’s approval of a federal Congestion Mitigation and Air Quality Improvement Program (CMAQ) grant by the Chicago Metropolitan Agency for Planning (CMAP) will allow CDOT to accelerate work in collaboration with the CTA to launch the design process for a new station.  “The CTA hub at State and Lake is an iconic location in the heart of Chicago and it deserves a state-of-the-art station|” Mayor Emanuel said. “This project has been talked about for more than a decade| and now we are moving forward on plans to rebuild this station and ensure a modern and reliable transit system for Chicago’s residents.” The new State/Lake station will be a modern| fully accessible station with wider platforms| built to 21st Century design standards| consistent with the new Washington/Wabash station. The newly announced federal funding is in addition to existing design funding of $5.5 million. It will not cover the full cost of construction| however| and the City plans to seek additional federal funding for construction. “We are pleased to move closer to providing our customers with yet another new| modern station that is fully accessible and is an important part of our goal of enhancing public transit in Chicago|” CTA President Dorval R. Carter| Jr. said. “We thank CMAP for their support of this project| and look forward to working with our partners at CDOT on this transformational project.” “CDOT greatly appreciates today’s decision by CMAP to prioritize this critically important project|” CDOT Commissioner Rebekah Scheinfeld said. “This allocation of funding allows us to step up the design process. As one of the City’s busiest transfer points| State/Lake is critically important for CTA capacity| safety and the economy of the Central Business District. This project will benefit riders coming from all corners of the city.” The current State/Lake station was originally built in 1895| and last year was the second-busiest station on the Loop ‘L’| with more than 3.1 million annual entries. State/Lake is a second CTA elevated project that CDOT is currently working on for the CTA| in addition to the Damen/Green station that is in design phase. The work on the new stations comes on the heels of the opening of three new stations under Mayor Emanuel: the new Washington/Wabash station in August; a new station at Morgan to serve the Green and Pink Lines in 2012 and the new Cermak-McCormick Place Green Line station in 2015. The full cost of the new station will not be determined until the design process progresses| but it is expected that it will exceed the construction cost of the new station at Washington/Wabash of $75 million.  CDOT| which will manage the project for the CTA| expects to issue a Request for Proposals (RFP) before the end of the year for design services for Phases 1 and 2 of the new station| moving the City towards setting a timetable for construction.,October 12| 2017
